EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	21:14:15	0	0.1000	0.9662561646214238	0.19063806533813477	0.9822	0.9868	0.9845	0.23604029417037964	0.9794	0.9809	0.9801
1	21:22:26	0	0.1000	0.43117207715540756	0.13623471558094025	0.9878	0.9903	0.989	0.19547107815742493	0.9815	0.9836	0.9825
2	21:30:40	0	0.1000	0.36054394167882425	0.12159676104784012	0.9897	0.992	0.9908	0.17899341881275177	0.9826	0.9852	0.9839
3	21:38:56	0	0.1000	0.3189741055170695	0.11366290599107742	0.9934	0.9926	0.993	0.15845683217048645	0.989	0.9867	0.9878
4	21:47:07	0	0.1000	0.2838859405782488	0.11385932564735413	0.9917	0.994	0.9928	0.1611713021993637	0.9848	0.9871	0.9859
5	21:55:26	1	0.1000	0.2626977126539489	0.10274077951908112	0.9948	0.9948	0.9948	0.14502602815628052	0.9887	0.9878	0.9882
6	22:04:03	0	0.1000	0.23824961715274387	0.1062946543097496	0.9942	0.9936	0.9939	0.16399310529232025	0.9885	0.9862	0.9873
7	22:12:36	1	0.1000	0.24682820704248215	0.12879741191864014	0.9893	0.9891	0.9892	0.16402064263820648	0.9869	0.9862	0.9865
8	22:21:10	2	0.1000	0.2172569316846353	0.10991751402616501	0.9913	0.9926	0.9919	0.1472172737121582	0.988	0.9889	0.9884
9	22:29:43	3	0.1000	0.20831100432961075	0.10405324399471283	0.9934	0.9942	0.9938	0.14513367414474487	0.9889	0.9899	0.9894
10	22:38:17	0	0.0500	0.18448354454688085	0.10119996964931488	0.9934	0.9942	0.9938	0.14707142114639282	0.9891	0.9898	0.9894
11	22:46:51	1	0.0500	0.16996744878498124	0.09872418642044067	0.994	0.9942	0.9941	0.1495317816734314	0.9892	0.9892	0.9892
12	22:55:27	2	0.0500	0.1665708636796033	0.10384797304868698	0.9942	0.9938	0.994	0.14293022453784943	0.9894	0.9889	0.9891
13	23:04:01	3	0.0500	0.16710799476246774	0.10870122164487839	0.994	0.994	0.994	0.14159059524536133	0.9892	0.9876	0.9884
14	23:12:30	0	0.0250	0.15208687760211803	0.10142729431390762	0.9944	0.9944	0.9944	0.13959866762161255	0.9894	0.9894	0.9894
15	23:20:38	1	0.0250	0.1473963718355438	0.10765939205884933	0.9948	0.9946	0.9947	0.14550361037254333	0.9887	0.9876	0.9881
16	23:28:43	2	0.0250	0.13784256783532509	0.10638086497783661	0.9944	0.9942	0.9943	0.1495165079832077	0.9894	0.9883	0.9888
17	23:36:52	3	0.0250	0.14054783280984856	0.10975141078233719	0.9924	0.9924	0.9924	0.14863435924053192	0.9892	0.9885	0.9888
18	23:45:02	0	0.0125	0.1316753555963069	0.10624445229768753	0.9938	0.994	0.9939	0.14344890415668488	0.9897	0.9892	0.9894
19	23:53:18	1	0.0125	0.13279443037362745	0.11010058224201202	0.994	0.9938	0.9939	0.1478043794631958	0.9892	0.9885	0.9888
20	00:01:37	2	0.0125	0.12786243705101955	0.10686703026294708	0.9944	0.9942	0.9943	0.14613038301467896	0.9897	0.9892	0.9894
21	00:10:01	3	0.0125	0.12252796505704339	0.10564761608839035	0.9942	0.994	0.9941	0.14949962496757507	0.9892	0.9889	0.989
22	00:18:27	0	0.0063	0.13015492352438562	0.10550496727228165	0.9942	0.9944	0.9943	0.14913232624530792	0.9892	0.9889	0.989
23	00:26:50	1	0.0063	0.13302075605333588	0.1063852459192276	0.994	0.994	0.994	0.1489819586277008	0.9896	0.989	0.9893
24	00:35:17	2	0.0063	0.12572434919851797	0.10448966920375824	0.9944	0.9944	0.9944	0.14903494715690613	0.9896	0.9889	0.9892
25	00:43:38	3	0.0063	0.12306625688517535	0.10912399739027023	0.9934	0.9936	0.9935	0.1494840383529663	0.9896	0.9889	0.9892
26	00:52:06	0	0.0031	0.12451752453674504	0.10610271990299225	0.9944	0.9944	0.9944	0.15101899206638336	0.9897	0.9889	0.9893
27	01:00:31	1	0.0031	0.11819120520426903	0.10586162656545639	0.9942	0.9942	0.9942	0.1507110744714737	0.9897	0.9889	0.9893
28	01:09:00	2	0.0031	0.12508878030894716	0.10673651099205017	0.994	0.994	0.994	0.15051919221878052	0.9897	0.9889	0.9893
29	01:17:27	3	0.0031	0.11618056017675518	0.10676107555627823	0.994	0.994	0.994	0.1506287157535553	0.9896	0.989	0.9893
