EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	01:57:12	0	0.1000	0.9833805757540244	0.22793681919574738	0.9809	0.9795	0.9802	0.25911396741867065	0.9803	0.9811	0.9807
1	02:06:46	0	0.1000	0.41210181683669855	0.20423994958400726	0.9829	0.9815	0.9822	0.22666878998279572	0.9847	0.9837	0.9842
2	02:16:21	0	0.1000	0.3444512707951628	0.19539380073547363	0.9849	0.9835	0.9842	0.19321341812610626	0.9832	0.9828	0.983
3	02:25:54	0	0.1000	0.3118092249940943	0.1893797665834427	0.9865	0.9869	0.9867	0.1863171011209488	0.9853	0.987	0.9861
4	02:35:28	0	0.1000	0.2787266070460096	0.16381362080574036	0.988	0.9873	0.9876	0.16417336463928223	0.9882	0.9879	0.988
5	02:45:03	0	0.1000	0.25519377979231467	0.1631288081407547	0.9891	0.9871	0.9881	0.16463123261928558	0.9884	0.987	0.9877
6	02:54:42	0	0.1000	0.2454280886385176	0.1830073893070221	0.9869	0.9878	0.9873	0.17777812480926514	0.988	0.9887	0.9883
7	03:04:15	1	0.1000	0.22456717218881772	0.15411676466464996	0.989	0.989	0.989	0.1616496592760086	0.988	0.988	0.988
8	03:13:47	0	0.1000	0.21761327503639974	0.17144249379634857	0.988	0.9871	0.9875	0.17448332905769348	0.9882	0.9875	0.9878
9	03:23:15	1	0.1000	0.20114079154567954	0.14865298569202423	0.9895	0.9886	0.989	0.16770048439502716	0.9881	0.9893	0.9887
10	03:32:50	2	0.1000	0.18624283855344043	0.16306240856647491	0.989	0.9901	0.9895	0.16409076750278473	0.9879	0.9894	0.9886
11	03:42:27	0	0.1000	0.19739720593264073	0.172770157456398	0.9876	0.9882	0.9879	0.1698523610830307	0.9887	0.9894	0.989
12	03:51:57	1	0.1000	0.1893430381645391	0.16749007999897003	0.9886	0.988	0.9883	0.15930847823619843	0.9896	0.9894	0.9895
13	04:01:25	2	0.1000	0.17821483612060546	0.17391857504844666	0.9875	0.988	0.9877	0.17107149958610535	0.9881	0.9898	0.9889
14	04:10:57	3	0.1000	0.1791350115964442	0.18840759992599487	0.9869	0.9882	0.9875	0.1801706999540329	0.9889	0.9908	0.9898
15	04:20:32	0	0.0500	0.14223588543173707	0.1728181391954422	0.9876	0.9873	0.9874	0.15362095832824707	0.9896	0.9899	0.9897
16	04:30:00	1	0.0500	0.14183526068557928	0.18086132407188416	0.9893	0.9895	0.9894	0.16579382121562958	0.9893	0.9908	0.99
17	04:39:29	2	0.0500	0.14733098171375417	0.1725681871175766	0.9884	0.9884	0.9884	0.16393280029296875	0.9891	0.9903	0.9897
18	04:48:59	3	0.0500	0.13084942926595242	0.19134023785591125	0.9876	0.988	0.9878	0.17068076133728027	0.9887	0.9898	0.9892
19	04:58:29	0	0.0250	0.13049083315295937	0.177210733294487	0.9897	0.989	0.9893	0.15750983357429504	0.9899	0.9905	0.9902
20	05:07:58	1	0.0250	0.13026182857560523	0.17693708837032318	0.9886	0.9892	0.9889	0.1560940444469452	0.9905	0.9913	0.9909
21	05:17:34	2	0.0250	0.1253420207971408	0.1692662239074707	0.9882	0.9886	0.9884	0.14996859431266785	0.9901	0.9908	0.9904
22	05:27:08	3	0.0250	0.11840804859443947	0.17392422258853912	0.9892	0.9892	0.9892	0.1546221822500229	0.9901	0.9906	0.9903
23	05:36:37	0	0.0125	0.11028738846013575	0.17098551988601685	0.9892	0.9892	0.9892	0.1555217206478119	0.9903	0.9906	0.9904
24	05:46:10	1	0.0125	0.11759163155967807	0.17404311895370483	0.9893	0.9893	0.9893	0.15385837852954865	0.9903	0.9903	0.9903
25	05:55:45	2	0.0125	0.11642695253278003	0.17918595671653748	0.9893	0.9893	0.9893	0.16059663891792297	0.9903	0.9906	0.9904
26	06:05:19	3	0.0125	0.10897981605412048	0.1835693120956421	0.9893	0.9893	0.9893	0.16355440020561218	0.9898	0.9903	0.99
27	06:14:53	0	0.0063	0.11254248162846506	0.18164554238319397	0.9888	0.9888	0.9888	0.1588202565908432	0.9898	0.9903	0.99
28	06:24:24	1	0.0063	0.10585174516395286	0.18109868466854095	0.9895	0.9892	0.9893	0.15972153842449188	0.9901	0.9905	0.9903
29	06:33:58	2	0.0063	0.10470673228487556	0.1796896606683731	0.989	0.9886	0.9888	0.15826117992401123	0.9901	0.9905	0.9903
