EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	21:11:19	0	0.1000	0.9373403365229382	0.22784066200256348	0.9826	0.9826	0.9826	0.22549162805080414	0.9823	0.9816	0.9819
1	21:20:42	0	0.1000	0.41817444378947033	0.1685609370470047	0.9867	0.986	0.9863	0.17776009440422058	0.9872	0.9841	0.9856
2	21:30:09	0	0.1000	0.35048329256199023	0.1676449179649353	0.9871	0.9865	0.9868	0.1788613498210907	0.9877	0.9855	0.9866
3	21:39:33	0	0.1000	0.30395068136262304	0.140477254986763	0.9891	0.9884	0.9887	0.1531316041946411	0.9882	0.9867	0.9874
4	21:48:58	0	0.1000	0.2774798274040222	0.15811212360858917	0.9891	0.988	0.9885	0.17017364501953125	0.9882	0.9855	0.9868
5	21:58:24	1	0.1000	0.2720749239126841	0.1275736689567566	0.9901	0.9899	0.99	0.1634168177843094	0.9898	0.987	0.9884
6	22:07:49	0	0.1000	0.24304952290323045	0.12463206797838211	0.9906	0.991	0.9908	0.1481340229511261	0.9883	0.9877	0.988
7	22:17:18	0	0.1000	0.22485187318589953	0.144626185297966	0.989	0.9905	0.9897	0.15490353107452393	0.9874	0.9877	0.9875
8	22:26:39	1	0.1000	0.22294984820448321	0.13618320226669312	0.9903	0.9905	0.9904	0.15751640498638153	0.99	0.9883	0.9891
9	22:36:02	2	0.1000	0.20677713214615245	0.13401630520820618	0.9903	0.9905	0.9904	0.15841057896614075	0.9905	0.9884	0.9894
10	22:45:25	3	0.1000	0.2062989005336055	0.12213680893182755	0.9916	0.9905	0.991	0.1543673723936081	0.9912	0.9884	0.9898
11	22:54:52	0	0.1000	0.19561336717487854	0.13536007702350616	0.991	0.9908	0.9909	0.171330064535141	0.9905	0.9881	0.9893
12	23:04:17	1	0.1000	0.20382042210779072	0.118497833609581	0.9912	0.9912	0.9912	0.16821806132793427	0.9891	0.9874	0.9882
13	23:13:42	0	0.1000	0.19180026510615408	0.13091623783111572	0.9901	0.9914	0.9907	0.1565755009651184	0.9904	0.99	0.9902
14	23:23:04	1	0.1000	0.1816562161033536	0.1384548395872116	0.9905	0.991	0.9907	0.17036812007427216	0.9898	0.9888	0.9893
15	23:32:24	2	0.1000	0.16780506269431408	0.11904946714639664	0.9916	0.9916	0.9916	0.1615118533372879	0.9907	0.989	0.9898
16	23:41:51	0	0.1000	0.17224880589379205	0.12959188222885132	0.9897	0.9918	0.9907	0.16466106474399567	0.9886	0.9883	0.9884
17	23:51:14	1	0.1000	0.1617808077070448	0.1375327706336975	0.9899	0.9901	0.99	0.17564666271209717	0.9907	0.989	0.9898
18	00:00:34	2	0.1000	0.1596690645924321	0.12362268567085266	0.991	0.9918	0.9914	0.17634224891662598	0.9886	0.9879	0.9882
19	00:09:57	3	0.1000	0.15682747452347368	0.12691277265548706	0.9916	0.9923	0.9919	0.16835732758045197	0.9898	0.9888	0.9893
20	00:19:21	0	0.1000	0.15356588216475497	0.1268811970949173	0.9914	0.9914	0.9914	0.17085029184818268	0.9884	0.9872	0.9878
21	00:28:44	1	0.1000	0.1514707647723916	0.11842627078294754	0.9905	0.9905	0.9905	0.17954371869564056	0.9883	0.9877	0.988
22	00:38:09	2	0.1000	0.13999904143957445	0.1373184770345688	0.9912	0.992	0.9916	0.18818116188049316	0.9893	0.989	0.9891
23	00:47:29	3	0.1000	0.14898149363788557	0.12576784193515778	0.9908	0.9916	0.9912	0.16073466837406158	0.9888	0.9886	0.9887
24	00:56:49	0	0.0500	0.1316747452005928	0.12481258809566498	0.9908	0.9912	0.991	0.16710685193538666	0.9895	0.9884	0.9889
25	01:06:11	1	0.0500	0.1234408335921205	0.12558254599571228	0.9916	0.992	0.9918	0.16604995727539062	0.9897	0.989	0.9893
26	01:15:33	2	0.0500	0.11786833663045625	0.13212823867797852	0.9918	0.992	0.9919	0.17610041797161102	0.9897	0.989	0.9893
27	01:24:56	3	0.0500	0.11496501587055348	0.13493359088897705	0.9912	0.9916	0.9914	0.19031013548374176	0.9895	0.9884	0.9889
28	01:34:18	0	0.0250	0.10790769450458479	0.1357739120721817	0.992	0.9921	0.992	0.1808045506477356	0.9902	0.9891	0.9896
29	01:43:46	0	0.0250	0.11074107090632121	0.13674791157245636	0.9918	0.9921	0.9919	0.18610084056854248	0.9897	0.9886	0.9891
