UD_Spanish-GSD UD_Spanish-AnCora	0.352
UD_Czech-CLTT UD_Czech-CAC	1.453
UD_Czech-FicTree UD_Czech-CAC	1.138
UD_Czech-PDT UD_Czech-CAC	0.373
UD_Czech-FicTree UD_Czech-CLTT	2.657
UD_Czech-PDT UD_Czech-CLTT	1.935
UD_Czech-PDT UD_Czech-FicTree	1.006
UD_English-GUM UD_English-EWT	0.256
UD_English-LinES UD_English-EWT	0.41
UD_English-ParTUT UD_English-EWT	0.619
UD_English-LinES UD_English-GUM	0.449
UD_English-ParTUT UD_English-GUM	0.432
UD_English-ParTUT UD_English-LinES	0.545
UD_Estonian-EWT UD_Estonian-EDT	0.415
UD_Finnish-TDT UD_Finnish-FTB	1.195
UD_French-ParTUT UD_French-GSD	0.676
UD_French-Sequoia UD_French-GSD	0.249
UD_French-Sequoia UD_French-ParTUT	0.523
UD_Galician-TreeGal UD_Galician-CTG	0.714
UD_Ancient_Greek-Perseus UD_Ancient_Greek-PROIEL	4.641
UD_Italian-ParTUT UD_Italian-ISDT	0.133
UD_Italian-PoSTWITA UD_Italian-ISDT	1.67
UD_Italian-VIT UD_Italian-ISDT	0.122
UD_Italian-PoSTWITA UD_Italian-ParTUT	1.478
UD_Italian-VIT UD_Italian-ParTUT	0.195
UD_Italian-VIT UD_Italian-PoSTWITA	1.764
UD_Korean-Kaist UD_Korean-GSD	2.56
UD_Latin-PROIEL UD_Latin-ITTB	3.763
UD_Latin-Perseus UD_Latin-ITTB	1.106
UD_Latin-Perseus UD_Latin-PROIEL	3.901
UD_Lithuanian-HSE UD_Lithuanian-ALKSNIS	0.876
UD_Dutch-LassySmall UD_Dutch-Alpino	0.667
UD_Norwegian-Nynorsk UD_Norwegian-Bokmaal	0.095
UD_Norwegian-NynorskLIA UD_Norwegian-Bokmaal	2.291
UD_Norwegian-NynorskLIA UD_Norwegian-Nynorsk	2.375
UD_Polish-PDB UD_Polish-LFG	0.625
UD_Portuguese-GSD UD_Portuguese-Bosque	0.412
UD_Romanian-RRT UD_Romanian-Nonstandard	1.364
UD_Russian-SynTagRus UD_Russian-GSD	0.567
UD_Russian-Taiga UD_Russian-GSD	1.027
UD_Russian-Taiga UD_Russian-SynTagRus	0.631
UD_Swedish-Talbanken UD_Swedish-LinES	0.441
UD_Slovenian-SST UD_Slovenian-SSJ	2.787
