EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	21:17:06	0	0.1000	0.9429526070017874	0.23812875151634216	0.9843	0.9779	0.9811	0.24748341739177704	0.9839	0.9796	0.9817
1	21:33:32	0	0.1000	0.413816648353765	0.18602760136127472	0.987	0.985	0.986	0.1961432248353958	0.9848	0.9838	0.9843
2	21:49:52	0	0.1000	0.3474367645051744	0.15209943056106567	0.9897	0.9866	0.9881	0.15886534750461578	0.9865	0.9848	0.9856
3	22:06:11	0	0.1000	0.31144588184945377	0.12610431015491486	0.9921	0.9909	0.9915	0.15063752233982086	0.9866	0.9873	0.9869
4	22:22:33	0	0.1000	0.2890642347159209	0.14040061831474304	0.9923	0.9892	0.9907	0.14123357832431793	0.9878	0.9871	0.9874
5	22:38:51	1	0.1000	0.26250728979522797	0.12087705731391907	0.9909	0.9894	0.9901	0.1411968469619751	0.9883	0.9901	0.9892
6	22:55:10	2	0.1000	0.2497844871179557	0.1307409703731537	0.9911	0.99	0.9905	0.1395552158355713	0.9887	0.9895	0.9891
7	23:11:26	3	0.1000	0.23339302392653477	0.12299142777919769	0.9919	0.9911	0.9915	0.1326933652162552	0.989	0.9904	0.9897
8	23:27:46	0	0.0500	0.20313112514990347	0.12426877021789551	0.9911	0.9901	0.9906	0.13268065452575684	0.989	0.9901	0.9895
9	23:44:15	1	0.0500	0.19789267542921465	0.11960610747337341	0.9927	0.9907	0.9917	0.12449607253074646	0.9906	0.9918	0.9912
10	00:00:35	0	0.0500	0.17730160995765967	0.11731107532978058	0.9921	0.9909	0.9915	0.13564907014369965	0.9904	0.992	0.9912
11	00:16:42	1	0.0500	0.18229858183566436	0.12024319916963577	0.9933	0.9919	0.9926	0.1292431652545929	0.9901	0.992	0.991
12	00:32:47	0	0.0500	0.1765965661884826	0.12354185432195663	0.9929	0.9919	0.9924	0.13004474341869354	0.9899	0.9909	0.9904
13	00:49:16	1	0.0500	0.16154246543660575	0.13128761947155	0.9903	0.989	0.9896	0.14225897192955017	0.988	0.9897	0.9888
14	01:05:39	2	0.0500	0.15534862243098976	0.1290210634469986	0.9923	0.9898	0.991	0.13169465959072113	0.9909	0.9913	0.9911
15	01:21:59	3	0.0500	0.15096014539400737	0.12429835647344589	0.9923	0.9913	0.9918	0.14100834727287292	0.9889	0.9911	0.99
16	01:38:11	0	0.0250	0.13998441534277833	0.1256636530160904	0.9925	0.9911	0.9918	0.13198161125183105	0.9899	0.9913	0.9906
17	01:54:27	1	0.0250	0.14473765426211888	0.12963074445724487	0.9929	0.9913	0.9921	0.14101722836494446	0.9904	0.9916	0.991
18	02:10:49	2	0.0250	0.1350973207273601	0.12342686206102371	0.9925	0.9907	0.9916	0.13457094132900238	0.9904	0.9916	0.991
19	02:27:15	3	0.0250	0.13811385565333897	0.12179597467184067	0.9927	0.9915	0.9921	0.1411670446395874	0.9902	0.9918	0.991
20	02:43:40	0	0.0125	0.1313769996902089	0.12899678945541382	0.9921	0.9901	0.9911	0.13345687091350555	0.9908	0.9918	0.9913
21	03:00:00	1	0.0125	0.12749303034794182	0.12569814920425415	0.9929	0.9915	0.9922	0.1362864226102829	0.9908	0.992	0.9914
22	03:16:17	2	0.0125	0.1207058036768878	0.13083787262439728	0.9933	0.9917	0.9925	0.14000479876995087	0.9906	0.992	0.9913
23	03:32:24	3	0.0125	0.12239655565332483	0.1331205666065216	0.9931	0.9907	0.9919	0.1340743452310562	0.9913	0.9921	0.9917
24	03:48:46	0	0.0063	0.1152425859445407	0.13212114572525024	0.9933	0.9917	0.9925	0.14111655950546265	0.9906	0.9918	0.9912
25	04:05:03	1	0.0063	0.11667902425483422	0.12925773859024048	0.9935	0.9919	0.9927	0.1406698077917099	0.9904	0.9918	0.9911
26	04:21:29	0	0.0063	0.11303480157145747	0.1293523758649826	0.9929	0.9915	0.9922	0.1406341940164566	0.9908	0.9925	0.9916
27	04:37:44	1	0.0063	0.12383443933946114	0.12796694040298462	0.9927	0.9913	0.992	0.13776138424873352	0.9904	0.9916	0.991
28	04:53:54	2	0.0063	0.11203668220543567	0.12896867096424103	0.9931	0.9919	0.9925	0.1390228271484375	0.9908	0.9918	0.9913
29	05:10:14	3	0.0063	0.11580959690941704	0.12849029898643494	0.9931	0.9917	0.9924	0.13930422067642212	0.9908	0.992	0.9914
