EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	01:54:20	0	0.1000	0.9535306263117143	0.2027875930070877	0.9862	0.9838	0.985	0.23786307871341705	0.9823	0.9794	0.9808
1	02:03:43	0	0.1000	0.43209433886739945	0.16223767399787903	0.9892	0.9898	0.9895	0.20583979785442352	0.9846	0.9847	0.9846
2	02:13:20	0	0.1000	0.3436674318195861	0.14685967564582825	0.9896	0.989	0.9893	0.15633761882781982	0.9882	0.9877	0.9879
3	02:22:48	1	0.1000	0.31224100089367524	0.17228415608406067	0.9888	0.9901	0.9894	0.20662124454975128	0.9846	0.9867	0.9856
4	02:32:18	2	0.1000	0.27489179586186824	0.14706680178642273	0.9902	0.9913	0.9907	0.19382654130458832	0.9863	0.9868	0.9865
5	02:41:44	0	0.1000	0.2719618229218471	0.1259092539548874	0.9913	0.9917	0.9915	0.1470446139574051	0.9884	0.9877	0.988
6	02:51:07	0	0.1000	0.2494614777005749	0.12247978150844574	0.9915	0.9919	0.9917	0.14493794739246368	0.9887	0.9887	0.9887
7	03:00:31	0	0.1000	0.24279233437997325	0.12464652955532074	0.99	0.9901	0.99	0.14499719440937042	0.9889	0.9884	0.9886
8	03:09:51	1	0.1000	0.22237741468865194	0.12626661360263824	0.9917	0.9919	0.9918	0.14152517914772034	0.9898	0.9903	0.99
9	03:19:14	0	0.1000	0.21488259765836928	0.1237281858921051	0.9917	0.993	0.9923	0.1407707780599594	0.9901	0.9913	0.9907
10	03:28:37	0	0.1000	0.20433015470151547	0.11980770528316498	0.9921	0.9921	0.9921	0.1362384855747223	0.9901	0.9898	0.9899
11	03:37:59	1	0.1000	0.20642930902080772	0.12860283255577087	0.9915	0.9921	0.9918	0.15765564143657684	0.9899	0.9896	0.9897
12	03:47:15	2	0.1000	0.1890015325796457	0.12451983988285065	0.9927	0.9927	0.9927	0.14593029022216797	0.9891	0.9893	0.9892
13	03:56:40	0	0.1000	0.18015033234784633	0.13633984327316284	0.9917	0.9929	0.9923	0.1634492576122284	0.9893	0.9906	0.9899
14	04:06:03	1	0.1000	0.17267246805591346	0.12493665516376495	0.9925	0.9923	0.9924	0.1354595273733139	0.9905	0.9901	0.9903
15	04:15:27	2	0.1000	0.1719753416232121	0.14830532670021057	0.9907	0.9921	0.9914	0.15405410528182983	0.9898	0.9906	0.9902
16	04:24:49	3	0.1000	0.16947932110892402	0.13613930344581604	0.9917	0.9923	0.992	0.1557355374097824	0.9903	0.9905	0.9904
17	04:34:12	0	0.0500	0.15305676364604337	0.1303490549325943	0.9921	0.993	0.9925	0.13819505274295807	0.9905	0.9912	0.9908
18	04:43:31	1	0.0500	0.15334346566671206	0.11769644916057587	0.9921	0.9925	0.9923	0.13081999123096466	0.9915	0.9915	0.9915
19	04:52:53	2	0.0500	0.13832360204355215	0.1214388757944107	0.9917	0.9919	0.9918	0.13673144578933716	0.99	0.9903	0.9901
20	05:02:15	3	0.0500	0.1411410281687607	0.12754079699516296	0.9915	0.9925	0.992	0.13538725674152374	0.9903	0.9917	0.991
21	05:11:35	0	0.0250	0.1252075151896771	0.12703701853752136	0.9915	0.9921	0.9918	0.13697834312915802	0.9905	0.9913	0.9909
22	05:21:09	1	0.0250	0.11648712695380788	0.1299457848072052	0.9917	0.9923	0.992	0.14309346675872803	0.99	0.991	0.9905
23	05:30:33	2	0.0250	0.11645965105221595	0.12643204629421234	0.9921	0.9925	0.9923	0.137939915060997	0.9905	0.9912	0.9908
24	05:39:56	3	0.0250	0.11212653929804578	0.13469505310058594	0.9921	0.9923	0.9922	0.13841819763183594	0.9913	0.9917	0.9915
25	05:49:19	0	0.0125	0.11285037611737664	0.13441982865333557	0.9919	0.9923	0.9921	0.14084896445274353	0.991	0.9913	0.9911
26	05:58:38	1	0.0125	0.10429839359389412	0.13409316539764404	0.9919	0.9925	0.9922	0.14042562246322632	0.9907	0.9917	0.9912
27	06:07:59	2	0.0125	0.11583660097769749	0.13420815765857697	0.9921	0.9929	0.9925	0.14334924519062042	0.9908	0.992	0.9914
28	06:17:23	3	0.0125	0.10619485643174913	0.13681422173976898	0.9917	0.9927	0.9922	0.14370518922805786	0.9907	0.9919	0.9913
29	06:26:44	0	0.0063	0.1029776163307237	0.13518694043159485	0.9913	0.9919	0.9916	0.13666631281375885	0.991	0.9915	0.9912
