EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	21:22:41	0	0.1000	0.9317585887732329	0.2326657474040985	0.9828	0.9845	0.9836	0.24653996527194977	0.9834	0.9827	0.983
1	21:31:49	0	0.1000	0.42201672781396793	0.2176916003227234	0.9793	0.9797	0.9795	0.21901561319828033	0.9823	0.9791	0.9807
2	21:40:56	1	0.1000	0.34786988813200115	0.15868039429187775	0.9871	0.9882	0.9876	0.1679592877626419	0.9884	0.9865	0.9874
3	21:50:07	0	0.1000	0.3054208795229594	0.13841591775417328	0.9883	0.9894	0.9888	0.14585980772972107	0.9893	0.9872	0.9882
4	21:59:19	0	0.1000	0.28284575195960054	0.1352258324623108	0.989	0.9909	0.9899	0.1501201093196869	0.9896	0.9872	0.9884
5	22:08:25	0	0.1000	0.2560714171256548	0.13490712642669678	0.99	0.9913	0.9906	0.14616842567920685	0.99	0.9879	0.9889
6	22:17:29	0	0.1000	0.24160001682646481	0.15506117045879364	0.9888	0.9898	0.9893	0.1755705624818802	0.9901	0.9884	0.9892
7	22:26:19	1	0.1000	0.2232263411268776	0.13506296277046204	0.9887	0.9915	0.9901	0.15497899055480957	0.9896	0.9886	0.9891
8	22:34:21	2	0.1000	0.21837819380524717	0.12634097039699554	0.99	0.9911	0.9905	0.16151073575019836	0.9901	0.9881	0.9891
9	22:42:25	3	0.1000	0.21649235247829815	0.1370197981595993	0.9886	0.9909	0.9897	0.14291217923164368	0.9908	0.9902	0.9905
10	22:50:44	0	0.0500	0.1831335331922696	0.13647566735744476	0.9898	0.9915	0.9906	0.14153671264648438	0.9915	0.9907	0.9911
11	22:59:45	1	0.0500	0.1746685208361826	0.11919666081666946	0.9905	0.9917	0.9911	0.14870889484882355	0.9898	0.9886	0.9892
12	23:08:48	0	0.0500	0.17072554274841592	0.12430039048194885	0.9898	0.9922	0.991	0.1347188949584961	0.9917	0.9907	0.9912
13	23:17:46	1	0.0500	0.16077874405884449	0.13056883215904236	0.9902	0.9918	0.991	0.14264769852161407	0.9917	0.9907	0.9912
14	23:26:46	2	0.0500	0.15391744191263929	0.14486344158649445	0.99	0.9913	0.9906	0.1565260887145996	0.9922	0.9903	0.9912
15	23:35:44	3	0.0500	0.15463492583345484	0.14432494342327118	0.9888	0.9913	0.99	0.14427003264427185	0.9924	0.9915	0.9919
16	23:44:43	0	0.0250	0.14189284833860985	0.12869413197040558	0.9905	0.9922	0.9913	0.14191989600658417	0.9914	0.9905	0.9909
17	23:53:45	0	0.0250	0.14060172858061615	0.1341748684644699	0.9898	0.9918	0.9908	0.14725327491760254	0.9919	0.9909	0.9914
18	00:02:45	1	0.0250	0.12896314101454653	0.12958469986915588	0.9898	0.9917	0.9907	0.15244507789611816	0.9919	0.9907	0.9913
19	00:11:26	2	0.0250	0.1301626624148569	0.13312098383903503	0.9907	0.992	0.9913	0.15398670732975006	0.9924	0.9912	0.9918
20	00:19:59	3	0.0250	0.1254600410108213	0.1319640576839447	0.9892	0.9909	0.99	0.15468750894069672	0.9914	0.9902	0.9908
21	00:28:25	0	0.0125	0.12823730537920822	0.12803798913955688	0.9896	0.9913	0.9904	0.1541525274515152	0.9907	0.9896	0.9901
22	00:37:05	1	0.0125	0.1238385162235778	0.13112403452396393	0.9894	0.9915	0.9904	0.15030130743980408	0.9915	0.9907	0.9911
23	00:46:03	2	0.0125	0.13010874758532018	0.12715594470500946	0.9894	0.9909	0.9901	0.15519630908966064	0.9915	0.9903	0.9909
24	00:54:59	3	0.0125	0.11529119780034194	0.13465693593025208	0.9898	0.9913	0.9905	0.15743587911128998	0.9919	0.9905	0.9912
25	01:03:59	0	0.0063	0.1179086497536412	0.12919555604457855	0.9892	0.9907	0.9899	0.15656177699565887	0.9912	0.9896	0.9904
26	01:12:57	1	0.0063	0.12008177049366045	0.13065072894096375	0.9892	0.9909	0.99	0.15462350845336914	0.9912	0.9896	0.9904
27	01:21:59	2	0.0063	0.11543839323667833	0.13138437271118164	0.9894	0.9909	0.9901	0.15436942875385284	0.9914	0.9902	0.9908
28	01:30:52	3	0.0063	0.11207382620116811	0.13354575634002686	0.9892	0.9909	0.99	0.15466180443763733	0.9915	0.9905	0.991
29	01:39:50	0	0.0031	0.11966010545506889	0.13279719650745392	0.989	0.9907	0.9898	0.15620864927768707	0.992	0.9907	0.9913
