EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	21:17:05	0	0.1000	0.8843153652585583	0.2718130350112915	0.9816	0.9809	0.9812	0.2639026343822479	0.983	0.9813	0.9821
1	21:33:22	0	0.1000	0.4244225772810571	0.19676931202411652	0.9845	0.9851	0.9848	0.17562922835350037	0.9863	0.9861	0.9862
2	21:49:47	0	0.1000	0.3420230806609731	0.18359002470970154	0.9874	0.9845	0.9859	0.15298056602478027	0.9881	0.9863	0.9872
3	22:06:09	0	0.1000	0.3030446884808717	0.17407633364200592	0.9863	0.988	0.9871	0.13121378421783447	0.9883	0.9887	0.9885
4	22:22:31	0	0.1000	0.27669279016094445	0.1732650101184845	0.9897	0.9884	0.989	0.13848471641540527	0.9911	0.9897	0.9904
5	22:38:55	0	0.1000	0.268124466104272	0.171018585562706	0.9873	0.9884	0.9878	0.12579211592674255	0.9923	0.9916	0.9919
6	22:55:15	1	0.1000	0.24239333227828697	0.15750201046466827	0.9886	0.9899	0.9892	0.12820662558078766	0.9912	0.9907	0.9909
7	23:11:38	0	0.1000	0.22969802559157948	0.1598285287618637	0.9882	0.9903	0.9892	0.12524110078811646	0.9914	0.9907	0.991
8	23:28:02	1	0.1000	0.21892789197556767	0.17716822028160095	0.989	0.9884	0.9887	0.13319337368011475	0.9911	0.9899	0.9905
9	23:44:14	2	0.1000	0.21463961983904425	0.1742980182170868	0.9899	0.9882	0.989	0.1279878169298172	0.9918	0.9907	0.9912
10	00:00:33	3	0.1000	0.2068184667163425	0.16136595606803894	0.9903	0.9886	0.9894	0.11788586527109146	0.9923	0.9914	0.9918
11	00:17:04	0	0.1000	0.19639520269853097	0.1766597330570221	0.9896	0.9892	0.9894	0.1377977877855301	0.9921	0.9907	0.9914
12	00:33:29	1	0.1000	0.1809267634226952	0.17922022938728333	0.9886	0.988	0.9883	0.13529153168201447	0.9911	0.9899	0.9905
13	00:49:48	2	0.1000	0.18357287527602395	0.1736394464969635	0.9888	0.988	0.9884	0.14673712849617004	0.9909	0.9888	0.9898
14	01:06:02	3	0.1000	0.18641646879690665	0.19329360127449036	0.9876	0.9884	0.988	0.13257485628128052	0.9909	0.9907	0.9908
15	01:22:23	0	0.0500	0.1563329995414357	0.1717742383480072	0.9892	0.9896	0.9894	0.12168637663125992	0.9916	0.9911	0.9913
16	01:38:53	1	0.0500	0.14402958382794886	0.16465522348880768	0.9899	0.9892	0.9895	0.1253175586462021	0.9918	0.9907	0.9912
17	01:55:10	0	0.0500	0.13673687488944442	0.1741429567337036	0.9899	0.9898	0.9898	0.1273370385169983	0.9923	0.9911	0.9917
18	02:11:29	0	0.0500	0.1534106257521076	0.17033880949020386	0.9884	0.9892	0.9888	0.1266394704580307	0.9918	0.9911	0.9914
19	02:27:41	1	0.0500	0.13652612603740927	0.1800447702407837	0.9907	0.9882	0.9894	0.13700689375400543	0.9917	0.9906	0.9911
20	02:43:51	2	0.0500	0.129878102776445	0.17239226400852203	0.9913	0.9903	0.9908	0.1362011730670929	0.9917	0.9906	0.9911
21	03:00:06	0	0.0500	0.12567462082262393	0.1919519305229187	0.9905	0.9886	0.9895	0.14581574499607086	0.9907	0.989	0.9898
22	03:16:26	1	0.0500	0.12069809797369403	0.17923018336296082	0.9898	0.9896	0.9897	0.14258556067943573	0.9921	0.9911	0.9916
23	03:32:46	2	0.0500	0.12098701471163903	0.18042387068271637	0.9905	0.9901	0.9903	0.1407538652420044	0.9919	0.9909	0.9914
24	03:49:04	3	0.0500	0.10740531285603841	0.19138936698436737	0.9901	0.989	0.9895	0.14585943520069122	0.9923	0.9907	0.9915
25	04:05:25	0	0.0250	0.11450240972601337	0.18531256914138794	0.9903	0.9896	0.9899	0.14401505887508392	0.9919	0.9904	0.9911
26	04:21:38	1	0.0250	0.11086468527346481	0.18330489099025726	0.9907	0.9898	0.9902	0.14515994489192963	0.9921	0.9907	0.9914
27	04:38:00	2	0.0250	0.10584838486012117	0.18464834988117218	0.9907	0.9903	0.9905	0.14286170899868011	0.9921	0.9907	0.9914
28	04:54:17	3	0.0250	0.10480636924873164	0.18481045961380005	0.9909	0.9901	0.9905	0.1403149962425232	0.9919	0.9907	0.9913
29	05:10:40	0	0.0125	0.10035776885939234	0.18926513195037842	0.9909	0.9899	0.9904	0.1435936838388443	0.9919	0.9907	0.9913
